65,67,252,66,252,107,66,108,NATWEST
495,293,587,294,587,320,495,320,FLATS
108,285,163,284,163,314,108,314,FIND
215,288,268,290,267,320,214,319,JUST
300,28,387,30,386,64,299,63,FIRST
558,111,674,110,674,135,558,136,DANCE
169,289,215,291,214,315,168,314,OUT
320,227,479,230,478,296,318,293,HUNGRY
536,134,634,135,634,151,536,150,PROTOTYPE
596,151,671,151,671,165,596,165,RECORDS
518,150,594,151,594,166,518,165,INSPIRED
597,293,667,293,666,319,597,319,61TO
287,246,310,247,309,260,286,258,HING
277,246,291,247,290,259,277,258,AFA
